Site,Count
twitter.com,8
theconversation.com,6
rschoolgroup.org,3
journals.lww.com,3
harperacademic.tumblr.com,2
www.ivpress.com,2
www.cfr.org,2
in.reuters.com,2
soundcloud.com,2
www.templehealth.org,2
blog.oup.com,2
cdn.bakerpublishinggroup.com,2
flipboard.com,2
www.aliem.com,1
www.combinedacademic.co.uk,1
www.harpercollins.com,1
bookscombined.com,1
zondervanacademic.com,1
education.olivet.edu,1
www.cambridge.org,1
www.stm-publishing.com,1
www.evensi.uk,1
www.youtube.com,1
www.twittascope.com,1
www.ed.ac.uk,1
www.newmuslimacademy.org,1
www.huffingtonpost.com,1
webtv.un.org,1
www.academicwino.com,1
www.gold.ac.uk,1
www.unhcr.org,1
munews.missouri.edu,1
refugeesmigrants.un.org,1
pres-outlook.org,1
blogs.lse.ac.uk,1
blogs.cfr.org,1
uk.ign.com,1
www.nytimes.com,1
